Item#,Category,Sub-Category,Test Description,Priority,Test Type,Status,Notes,Assigned To,Date Completed,Evidence
1.1,Infrastructure,Environment,Backend server running (http://localhost:4001),Critical,Manual,Pending,Verify port 4001 is listening,DevOps,
1.2,Infrastructure,Environment,Frontend server running (http://localhost:5173),Critical,Manual,Pending,Verify Vite dev server active,DevOps,
1.3,Infrastructure,Environment,PostgreSQL database connected,Critical,Manual,Pending,Check DATABASE_URL in .env,DevOps,
1.4,Infrastructure,Environment,Prisma migrations applied,Critical,Manual,Pending,Run: prisma migrate deploy,DevOps,
1.5,Infrastructure,Environment,Environment variables configured,Critical,Manual,Pending,All required .env vars set,DevOps,
1.6,Infrastructure,Environment,SSL certificates (for HTTPS),High,Manual,Pending,Self-signed certs for localhost,DevOps,
1.7,Infrastructure,Environment,Reverse proxy configured (if needed),High,Manual,Pending,nginx/Apache setup,DevOps,
1.8,Infrastructure,Environment,Log files rotation configured,Medium,Manual,Pending,Prevent disk space issues,DevOps,
2.1.1,Backend API,Authentication,Login endpoint working,Critical,Automated,Pending,POST /api/auth/login,QA,
2.1.2,Backend API,Authentication,JWT token generation,Critical,Automated,Pending,Access token & refresh token created,QA,
2.1.3,Backend API,Authentication,Token refresh endpoint,Critical,Automated,Pending,POST /api/auth/refresh,QA,
2.1.4,Backend API,Authentication,Logout endpoint,Critical,Automated,Pending,POST /api/auth/logout,QA,
2.1.5,Backend API,Authentication,Role-based access control,Critical,Automated,Pending,Teacher vs Student permissions,QA,
2.1.6,Backend API,Authentication,Protected routes require auth,Critical,Automated,Pending,401 Unauthorized when no token,QA,
2.1.7,Backend API,Authentication,CORS headers present,High,Automated,Pending,Proper origin validation,QA,
2.2.1,Backend API,Classes,GET /api/classes,Critical,Automated,Pending,List all classes for user,QA,
2.2.2,Backend API,Classes,GET /api/classes/{id},Critical,Automated,Pending,Get class details,QA,
2.2.3,Backend API,Classes,POST /api/classes (teacher only),Critical,Automated,Pending,Create new class,QA,
2.2.4,Backend API,Classes,PUT /api/classes/{id} (teacher only),Critical,Automated,Pending,Update class details,QA,
2.2.5,Backend API,Classes,DELETE /api/classes/{id} (teacher only),Critical,Automated,Pending,Delete class,QA,
2.2.6,Backend API,Classes,GET /api/classes/{id}/students,Critical,Automated,Pending,List class students,QA,
2.2.7,Backend API,Classes,POST /api/classes/{id}/join-request,Critical,Automated,Pending,Student join request,QA,
2.2.8,Backend API,Classes,GET /api/classes/{id}/join-requests,High,Automated,Pending,Teacher view requests,QA,
2.2.9,Backend API,Classes,POST /api/classes/join-requests/{id}/approve,High,Automated,Pending,Teacher approve join,QA,
2.2.10,Backend API,Classes,POST /api/classes/join-requests/{id}/reject,High,Automated,Pending,Teacher reject join,QA,
2.3.1,Backend API,Chat,GET /api/chat/rooms,Critical,Automated,Pending,List user's chat rooms,QA,
2.3.2,Backend API,Chat,POST /api/chat/rooms,Critical,Automated,Pending,Create new chat room,QA,
2.3.3,Backend API,Chat,GET /api/chat/rooms/{id}/messages,Critical,Automated,Pending,Load room messages,QA,
2.3.4,Backend API,Chat,POST /api/chat/rooms/{id}/messages,Critical,Automated,Pending,Send message,QA,
2.3.5,Backend API,Chat,POST /api/chat/rooms/{id}/pin,High,Automated,Pending,Pin room for user,QA,
2.3.6,Backend API,Chat,DELETE /api/chat/rooms/{id}/pin,High,Automated,Pending,Unpin room,QA,
2.3.7,Backend API,Chat,GET /api/chat/me/pinned,High,Automated,Pending,Get user's pinned rooms,QA,
2.3.8,Backend API,Chat,WebSocket connection (socket.io),Critical,Automated,Pending,Real-time messaging,QA,
2.4.1,Backend API,Attendance,GET /api/classes/{id}/attendance,High,Automated,Pending,Get class attendance,QA,
2.4.2,Backend API,Attendance,POST /api/classes/{id}/attendance,High,Automated,Pending,Mark attendance,QA,
2.4.3,Backend API,Attendance,GET /api/attendance/my-sessions,High,Automated,Pending,Student view sessions,QA,
2.5.1,Backend API,Leaves,GET /api/leaves/my-requests,High,Automated,Pending,Student view requests,QA,
2.5.2,Backend API,Leaves,POST /api/leaves/request,High,Automated,Pending,Submit leave request,QA,
2.5.3,Backend API,Leaves,GET /api/leaves/pending,High,Automated,Pending,Teacher view pending (teacher only),QA,
2.6.1,Backend API,Exams,GET /api/exams,High,Automated,Pending,List exams,QA,
2.6.2,Backend API,Exams,GET /api/classes/{id}/exams,High,Automated,Pending,Class exams,QA,
2.7.1,Backend API,Resources,GET /api/resources,High,Automated,Pending,List resources,QA,
2.7.2,Backend API,Resources,GET /api/resources/{id}/download,High,Automated,Pending,Download resource,QA,
2.8.1,Backend API,Export,GET /api/export/transcript/pdf,High,Automated,Pending,Export transcript as PDF,QA,
2.8.2,Backend API,Export,GET /api/export/activities/csv,High,Automated,Pending,Export activities as CSV,QA,
2.8.3,Backend API,Export,GET /api/export/attendance/csv,High,Automated,Pending,Export attendance as CSV,QA,
